Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Date,Payment,Rating,anomalie,nom_segment
750000-85-7912,C,Marrakech,Member,Male,Fashion accessories,34.75,4,145.95,03/28/2019,Ewallet,4.8,Normal,Petit acheteur
750001-38-8359,A,Casablanca,Member,Male,Electronic accessories,30.94,10,324.87,03/25/2019,Ewallet,4.2,Normal,Petit acheteur
750002-58-2584,C,Marrakech,Normal,Male,Electronic accessories,72.83,6,458.83,02/13/2019,Ewallet,5.7,Normal,Acheteur moyen
750003-90-6925,B,Rabat,Normal,Female,Health and beauty,75.67,9,715.08,01/11/2019,Cash,4.7,Normal,Acheteur moyen
750004-68-6977,C,Marrakech,Member,Male,Health and beauty,69.51,5,364.93,01/13/2019,Ewallet,9.9,Normal,Petit acheteur
750005-69-7216,A,Casablanca,Normal,Female,Electronic accessories,70.31,2,147.65,03/10/2019,Ewallet,7.7,Normal,Petit acheteur
750006-82-6155,B,Rabat,Member,Female,Health and beauty,30.61,1,32.14,02/04/2019,Cash,8.8,Normal,Petit acheteur
750007-84-8019,A,Casablanca,Normal,Female,Fashion accessories,51.29,5,269.27,03/13/2019,Credit card,4.8,Normal,Petit acheteur
750008-90-3621,C,Marrakech,Normal,Female,Electronic accessories,99.75,3,314.21,01/07/2019,Ewallet,7.1,Anomalie,Petit acheteur
750009-24-9797,C,Marrakech,Normal,Male,Sports and travel,44.34,8,372.46,01/02/2019,Credit card,7.2,Normal,Petit acheteur
750010-32-9317,B,Rabat,Normal,Male,Home and lifestyle,49.12,8,412.61,02/03/2019,Credit card,4.0,Normal,Acheteur moyen
750011-72-1319,A,Casablanca,Normal,Male,Electronic accessories,43.65,3,137.5,01/01/2019,Credit card,7.2,Normal,Petit acheteur
750012-78-3060,A,Casablanca,Normal,Female,Electronic accessories,15.21,10,159.71,03/04/2019,Ewallet,9.7,Normal,Petit acheteur
750013-49-7537,A,Casablanca,Normal,Male,Home and lifestyle,57.49,10,603.64,03/11/2019,Ewallet,6.5,Normal,Acheteur moyen
750014-39-4608,C,Marrakech,Normal,Female,Food and beverages,50.63,4,212.65,01/03/2019,Cash,5.3,Normal,Petit acheteur
750015-95-8953,A,Casablanca,Member,Male,Electronic accessories,16.07,1,16.87,03/07/2019,Ewallet,9.2,Normal,Petit acheteur
750016-64-7735,A,Casablanca,Member,Female,Electronic accessories,80.61,7,592.48,03/26/2019,Ewallet,5.1,Normal,Acheteur moyen
