Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750000-85-7912,C,Marrakech,Member,Male,Fashion accessories,34.75,4,6.95,145.95,03/28/2019,18:05,Ewallet,139.0,4.761904762,6.95,4.8
750001-38-8359,A,Casablanca,Member,Male,Electronic accessories,30.94,10,15.47,324.87,03/25/2019,18:26,Ewallet,309.4,4.761904762,15.47,4.2
750002-58-2584,C,Marrakech,Normal,Male,Electronic accessories,72.83,6,21.849,458.83,02/13/2019,11:05,Ewallet,436.98,4.761904762,21.849,5.7
750003-90-6925,B,Rabat,Normal,Female,Health and beauty,75.67,9,34.0515,715.08,01/11/2019,18:18,Cash,681.03,4.761904762,34.0515,4.7
750004-68-6977,C,Marrakech,Member,Male,Health and beauty,69.51,5,17.3775,364.93,01/13/2019,16:17,Ewallet,347.55,4.761904762,17.3775,9.9
750005-69-7216,A,Casablanca,Normal,Female,Electronic accessories,70.31,2,7.031,147.65,03/10/2019,13:10,Ewallet,140.62,4.761904762,7.031,7.7
750006-82-6155,B,Rabat,Member,Female,Health and beauty,30.61,1,1.5305,32.14,02/04/2019,11:13,Cash,30.61,4.761904762,1.5305,8.8
750007-84-8019,A,Casablanca,Normal,Female,Fashion accessories,51.29,5,12.8225,269.27,03/13/2019,18:16,Credit card,256.45,4.761904762,12.8225,4.8
750008-90-3621,C,Marrakech,Normal,Female,Electronic accessories,99.75,3,14.9625,314.21,01/07/2019,11:09,Ewallet,299.25,4.761904762,14.9625,7.1
750009-24-9797,C,Marrakech,Normal,Male,Sports and travel,44.34,8,17.736,372.46,01/02/2019,20:46,Credit card,354.72,4.761904762,17.736,7.2
750010-32-9317,B,Rabat,Normal,Male,Home and lifestyle,49.12,8,19.648,412.61,02/03/2019,18:48,Credit card,392.96,4.761904762,19.648,4.0
750011-72-1319,A,Casablanca,Normal,Male,Electronic accessories,43.65,3,6.5475,137.5,01/01/2019,19:20,Credit card,130.95,4.761904762,6.5475,7.2
750012-78-3060,A,Casablanca,Normal,Female,Electronic accessories,15.21,10,7.605,159.71,03/04/2019,11:48,Ewallet,152.1,4.761904762,7.605,9.7
750013-49-7537,A,Casablanca,Normal,Male,Home and lifestyle,57.49,10,28.745,603.64,03/11/2019,13:45,Ewallet,574.9,4.761904762,28.745,6.5
750014-39-4608,C,Marrakech,Normal,Female,Food and beverages,50.63,4,10.126,212.65,01/03/2019,19:35,Cash,202.52,4.761904762,10.126,5.3
750015-95-8953,A,Casablanca,Member,Male,Electronic accessories,16.07,1,0.8035,16.87,03/07/2019,13:17,Ewallet,16.07,4.761904762,0.8035,9.2
750016-64-7735,A,Casablanca,Member,Female,Electronic accessories,80.61,7,28.2135,592.48,03/26/2019,16:22,Ewallet,564.27,4.761904762,28.2135,5.1
750017-78-8350,B,Rabat,Member,Male,Health and beauty,46.23,6,13.869,291.25,02/01/2019,13:12,Ewallet,277.38,4.761904762,13.869,8.8
750018-79-1241,A,Casablanca,Normal,Male,Home and lifestyle,51.63,2,5.163,108.42,01/13/2019,10:41,Credit card,103.26,4.761904762,5.163,6.7
750019-59-5345,A,Casablanca,Member,Male,Sports and travel,53.7,4,10.74,225.54,01/22/2019,16:00,Ewallet,214.8,4.761904762,10.74,9.2
750020-37-1958,B,Rabat,Normal,Female,Fashion accessories,96.15,9,43.2675,908.62,01/20/2019,13:18,Cash,865.35,4.761904762,43.2675,8.0
750021-20-4044,C,Marrakech,Member,Female,Health and beauty,14.51,8,5.804,121.88,01/21/2019,10:32,Credit card,116.08,4.761904762,5.804,7.0
750022-63-9565,A,Casablanca,Member,Male,Sports and travel,20.79,10,10.395,218.29,01/06/2019,19:05,Credit card,207.9,4.761904762,10.395,5.5
